Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
New_Apg_VA,Chrome 71.0.3578.98,,2019-01-30 14:32:10,2019-01-30 14:33:54,1m - 44.584s,PASSED
,,,,,,
Test Cases/Web UAT/Login UAT,Chrome 71.0.3578.98,,2019-01-30 14:32:10,2019-01-30 14:32:45,35.193s,PASSED
openBrowser,Chrome 71.0.3578.98,,2019-01-30 14:32:10,2019-01-30 14:32:15,4.676s,PASSED
"Statement - autoit_prj = ""D:\Katalon\Authentication_Custom.exe""",Chrome 71.0.3578.98,,2019-01-30 14:32:15,2019-01-30 14:32:15,0.001s,PASSED
Statement - java.lang.Runtime.getRuntime().exec(autoit_prj),Chrome 71.0.3578.98,,2019-01-30 14:32:15,2019-01-30 14:32:15,0.014s,PASSED
Statement - java.lang.Thread.sleep(500),Chrome 71.0.3578.98,,2019-01-30 14:32:15,2019-01-30 14:32:16,0.512s,PASSED
navigateToUrl,Chrome 71.0.3578.98,,2019-01-30 14:32:16,2019-01-30 14:32:25,9.722s,PASSED
Statement - For (def index : (0..0)),Chrome 71.0.3578.98,,2019-01-30 14:32:25,2019-01-30 14:32:25,0.003s,NOT_RUN
click,Chrome 71.0.3578.98,,2019-01-30 14:32:25,2019-01-30 14:32:25,0.002s,NOT_RUN
delay,Chrome 71.0.3578.98,,2019-01-30 14:32:25,2019-01-30 14:32:27,2.057s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 14:32:27,2019-01-30 14:32:29,1.151s,PASSED
setText,Chrome 71.0.3578.98,,2019-01-30 14:32:29,2019-01-30 14:32:29,0.549s,PASSED
setEncryptedText,Chrome 71.0.3578.98,,2019-01-30 14:32:29,2019-01-30 14:32:30,0.422s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 14:32:30,2019-01-30 14:32:45,15.663s,PASSED
,,,,,,
Test Cases/Web UAT/Search,Chrome 71.0.3578.98,,2019-01-30 14:32:45,2019-01-30 14:32:56,10.966s,PASSED
openBrowser,Chrome 71.0.3578.98,,2019-01-30 14:32:45,2019-01-30 14:32:45,0.002s,NOT_RUN
navigateToUrl,Chrome 71.0.3578.98,,2019-01-30 14:32:45,2019-01-30 14:32:45,0.002s,NOT_RUN
setText,Chrome 71.0.3578.98,,2019-01-30 14:32:45,2019-01-30 14:32:46,0.295s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 14:32:46,2019-01-30 14:32:56,10.445s,PASSED
,,,,,,
Test Cases/Web UAT/add_to_cart,Chrome 71.0.3578.98,,2019-01-30 14:32:56,2019-01-30 14:32:59,2.544s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 14:32:56,2019-01-30 14:32:57,0.360s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-30 14:32:57,2019-01-30 14:32:59,2.002s,PASSED
,,,,,,
Test Cases/Web UAT/cart,Chrome 71.0.3578.98,,2019-01-30 14:32:59,2019-01-30 14:33:03,4.563s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 14:32:59,2019-01-30 14:33:03,4.280s,PASSED
Statement - println(noOrder),Chrome 71.0.3578.98,,2019-01-30 14:33:03,2019-01-30 14:33:03,0.016s,PASSED
,,,,,,
Test Cases/Web UAT/checkout,Chrome 71.0.3578.98,,2019-01-30 14:33:03,2019-01-30 14:33:38,35.058s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 14:33:04,2019-01-30 14:33:10,6.607s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-30 14:33:10,2019-01-30 14:33:20,10.003s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 14:33:20,2019-01-30 14:33:20,0.117s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-30 14:33:20,2019-01-30 14:33:25,5.002s,PASSED
Statement - noOrder = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/New Apg/TEMP_ORDER/noOrder2)),Chrome 71.0.3578.98,,2019-01-30 14:33:25,2019-01-30 14:33:38,13.038s,PASSED
Statement - println(noOrder),Chrome 71.0.3578.98,,2019-01-30 14:33:38,2019-01-30 14:33:38,0.001s,PASSED
Statement - noOrder = noOrder,Chrome 71.0.3578.98,,2019-01-30 14:33:38,2019-01-30 14:33:38,0.000s,PASSED
Statement - println(noOrder),Chrome 71.0.3578.98,,2019-01-30 14:33:38,2019-01-30 14:33:38,0.001s,PASSED
,,,,,,
Test Cases/Web UAT/virtual_account,Chrome 71.0.3578.98,,2019-01-30 14:33:38,2019-01-30 14:33:53,14.967s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 14:33:39,2019-01-30 14:33:39,0.220s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-30 14:33:39,2019-01-30 14:33:42,3.003s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 14:33:42,2019-01-30 14:33:53,10.922s,PASSED
verifyElementVisible,Chrome 71.0.3578.98,,2019-01-30 14:33:53,2019-01-30 14:33:53,0.388s,PASSED
