Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Login,Chrome 72.0.3626.81,,2019-01-31 15:32:04,2019-01-31 15:32:40,36.068s,FAILED
,,,,,,
Test Cases/Main Test Cases/TC001_Verify Login For All Cases,Chrome 72.0.3626.81,,2019-01-31 15:32:04,2019-01-31 15:32:24,20.016s,FAILED
Start setup action : Setup,Chrome 72.0.3626.81,,2019-01-31 15:32:04,2019-01-31 15:32:20,15.921s,PASSED
click,Chrome 72.0.3626.81,Click Sign in Masuk/Daftar,2019-01-31 15:32:20,2019-01-31 15:32:21,0.835s,PASSED
callTestCase,Chrome 72.0.3626.81,Call Login function,2019-01-31 15:32:21,2019-01-31 15:32:22,1.211s,PASSED
Statement - switch (var_statusExpectedResult.toString()),Chrome 72.0.3626.81,Get Status expected test case result,2019-01-31 15:32:22,2019-01-31 15:32:23,0.577s,FAILED
Start tear down : Teardown,Chrome 72.0.3626.81,,2019-01-31 15:32:23,2019-01-31 15:32:24,1.307s,PASSED
,,,,,,
Test Cases/Main Test Cases/TC001_Verify Login For All Cases,Chrome 72.0.3626.81,,2019-01-31 15:32:24,2019-01-31 15:32:40,15.475s,FAILED
Start setup action : Setup,Chrome 72.0.3626.81,,2019-01-31 15:32:24,2019-01-31 15:32:32,8.035s,PASSED
click,Chrome 72.0.3626.81,Click Sign in Masuk/Daftar,2019-01-31 15:32:32,2019-01-31 15:32:33,0.569s,PASSED
callTestCase,Chrome 72.0.3626.81,Call Login function,2019-01-31 15:32:33,2019-01-31 15:32:39,5.726s,PASSED
Statement - switch (var_statusExpectedResult.toString()),Chrome 72.0.3626.81,Get Status expected test case result,2019-01-31 15:32:39,2019-01-31 15:32:39,0.374s,FAILED
Start tear down : Teardown,Chrome 72.0.3626.81,,2019-01-31 15:32:39,2019-01-31 15:32:40,0.728s,PASSED
