Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
New_Apg_VA,Chrome 71.0.3578.98,,2019-01-30 10:31:18,2019-01-30 10:33:34,2m - 16.043s,FAILED
,,,,,,
Test Cases/Web UAT/Login UAT,Chrome 71.0.3578.98,,2019-01-30 10:31:19,2019-01-30 10:32:00,41.729s,PASSED
openBrowser,Chrome 71.0.3578.98,,2019-01-30 10:31:19,2019-01-30 10:31:31,11.610s,PASSED
"Statement - autoit_prj = ""D:\Katalon\Authentication_Custom.exe""",Chrome 71.0.3578.98,,2019-01-30 10:31:31,2019-01-30 10:31:31,0.002s,PASSED
Statement - java.lang.Runtime.getRuntime().exec(autoit_prj),Chrome 71.0.3578.98,,2019-01-30 10:31:31,2019-01-30 10:31:37,6.758s,PASSED
Statement - java.lang.Thread.sleep(500),Chrome 71.0.3578.98,,2019-01-30 10:31:37,2019-01-30 10:31:38,0.559s,PASSED
navigateToUrl,Chrome 71.0.3578.98,,2019-01-30 10:31:38,2019-01-30 10:31:51,12.957s,PASSED
Statement - For (def index : (0..0)),Chrome 71.0.3578.98,,2019-01-30 10:31:51,2019-01-30 10:31:51,0.003s,NOT_RUN
click,Chrome 71.0.3578.98,,2019-01-30 10:31:51,2019-01-30 10:31:51,0.001s,NOT_RUN
delay,Chrome 71.0.3578.98,,2019-01-30 10:31:51,2019-01-30 10:31:53,2.054s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 10:31:53,2019-01-30 10:31:54,0.838s,PASSED
setText,Chrome 71.0.3578.98,,2019-01-30 10:31:54,2019-01-30 10:31:54,0.684s,PASSED
setEncryptedText,Chrome 71.0.3578.98,,2019-01-30 10:31:54,2019-01-30 10:31:55,0.398s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 10:31:55,2019-01-30 10:32:00,5.408s,PASSED
,,,,,,
Test Cases/Web UAT/Search,Chrome 71.0.3578.98,,2019-01-30 10:32:00,2019-01-30 10:32:11,10.612s,PASSED
openBrowser,Chrome 71.0.3578.98,,2019-01-30 10:32:01,2019-01-30 10:32:01,0.002s,NOT_RUN
navigateToUrl,Chrome 71.0.3578.98,,2019-01-30 10:32:01,2019-01-30 10:32:01,0.004s,NOT_RUN
setText,Chrome 71.0.3578.98,,2019-01-30 10:32:01,2019-01-30 10:32:01,0.666s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 10:32:01,2019-01-30 10:32:11,9.610s,PASSED
,,,,,,
Test Cases/Web UAT/add_to_cart,Chrome 71.0.3578.98,,2019-01-30 10:32:11,2019-01-30 10:32:12,0.535s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 10:32:11,2019-01-30 10:32:12,0.297s,PASSED
,,,,,,
Test Cases/Web UAT/cart,Chrome 71.0.3578.98,,2019-01-30 10:32:12,2019-01-30 10:32:14,2.703s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 10:32:12,2019-01-30 10:32:14,2.441s,PASSED
,,,,,,
Test Cases/Web UAT/checkout,Chrome 71.0.3578.98,,2019-01-30 10:32:14,2019-01-30 10:33:01,46.955s,FAILED
click,Chrome 71.0.3578.98,,2019-01-30 10:32:15,2019-01-30 10:32:15,0.239s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-30 10:32:15,2019-01-30 10:32:25,10.002s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 10:32:25,2019-01-30 10:33:01,36.402s,FAILED
,,,,,,
Test Cases/Web UAT/virtual_account,Chrome 71.0.3578.98,,2019-01-30 10:33:01,2019-01-30 10:33:33,31.680s,FAILED
click,Chrome 71.0.3578.98,,2019-01-30 10:33:02,2019-01-30 10:33:33,31.392s,FAILED
