Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Login,Chrome 72.0.3626.81,,2019-01-31 15:49:22,2019-01-31 15:49:48,26.781s,PASSED
,,,,,,
Test Cases/Main Test Cases/TC001_Verify Login For All Cases,Chrome 72.0.3626.81,,2019-01-31 15:49:22,2019-01-31 15:49:36,13.786s,PASSED
Start setup action : Setup,Chrome 72.0.3626.81,,2019-01-31 15:49:22,2019-01-31 15:49:33,10.885s,PASSED
click,Chrome 72.0.3626.81,Click Sign in Masuk/Daftar,2019-01-31 15:49:33,2019-01-31 15:49:34,0.886s,PASSED
callTestCase,Chrome 72.0.3626.81,Call Login function,2019-01-31 15:49:34,2019-01-31 15:49:35,1.086s,PASSED
Statement - switch (var_statusExpectedResult.toString()),Chrome 72.0.3626.81,Get Status expected test case result,2019-01-31 15:49:35,2019-01-31 15:49:35,0.133s,PASSED
Start tear down : Teardown,Chrome 72.0.3626.81,,2019-01-31 15:49:35,2019-01-31 15:49:36,0.734s,PASSED
,,,,,,
Test Cases/Main Test Cases/TC001_Verify Login For All Cases,Chrome 72.0.3626.81,,2019-01-31 15:49:36,2019-01-31 15:49:48,12.516s,PASSED
Start setup action : Setup,Chrome 72.0.3626.81,,2019-01-31 15:49:36,2019-01-31 15:49:43,6.882s,PASSED
click,Chrome 72.0.3626.81,Click Sign in Masuk/Daftar,2019-01-31 15:49:43,2019-01-31 15:49:44,0.900s,PASSED
callTestCase,Chrome 72.0.3626.81,Call Login function,2019-01-31 15:49:44,2019-01-31 15:49:48,3.936s,PASSED
Statement - switch (var_statusExpectedResult.toString()),Chrome 72.0.3626.81,Get Status expected test case result,2019-01-31 15:49:48,2019-01-31 15:49:48,0.068s,PASSED
Start tear down : Teardown,Chrome 72.0.3626.81,,2019-01-31 15:49:48,2019-01-31 15:49:48,0.701s,PASSED
