Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
New_Apg_VA,Chrome 71.0.3578.98,,2019-01-29 18:04:08,2019-01-29 18:05:30,1m - 22.012s,PASSED
,,,,,,
Test Cases/Web UAT/Login UAT,Chrome 71.0.3578.98,,2019-01-29 18:04:09,2019-01-29 18:04:35,26.197s,PASSED
openBrowser,Chrome 71.0.3578.98,,2019-01-29 18:04:09,2019-01-29 18:04:14,5.014s,PASSED
"Statement - autoit_prj = ""D:\Katalon\Authentication_Custom.exe""",Chrome 71.0.3578.98,,2019-01-29 18:04:14,2019-01-29 18:04:14,0.001s,PASSED
Statement - java.lang.Runtime.getRuntime().exec(autoit_prj),Chrome 71.0.3578.98,,2019-01-29 18:04:14,2019-01-29 18:04:15,0.079s,PASSED
Statement - java.lang.Thread.sleep(500),Chrome 71.0.3578.98,,2019-01-29 18:04:15,2019-01-29 18:04:15,0.524s,PASSED
navigateToUrl,Chrome 71.0.3578.98,,2019-01-29 18:04:15,2019-01-29 18:04:26,11.060s,PASSED
Statement - For (def index : (0..0)),Chrome 71.0.3578.98,,2019-01-29 18:04:26,2019-01-29 18:04:26,0.002s,NOT_RUN
click,Chrome 71.0.3578.98,,2019-01-29 18:04:26,2019-01-29 18:04:26,0.002s,NOT_RUN
delay,Chrome 71.0.3578.98,,2019-01-29 18:04:26,2019-01-29 18:04:28,2.057s,PASSED
click,Chrome 71.0.3578.98,,2019-01-29 18:04:28,2019-01-29 18:04:29,0.874s,PASSED
setText,Chrome 71.0.3578.98,,2019-01-29 18:04:29,2019-01-29 18:04:29,0.418s,PASSED
setEncryptedText,Chrome 71.0.3578.98,,2019-01-29 18:04:29,2019-01-29 18:04:30,0.373s,PASSED
click,Chrome 71.0.3578.98,,2019-01-29 18:04:30,2019-01-29 18:04:35,5.266s,PASSED
,,,,,,
Test Cases/Web UAT/Search,Chrome 71.0.3578.98,,2019-01-29 18:04:35,2019-01-29 18:04:45,9.956s,PASSED
openBrowser,Chrome 71.0.3578.98,,2019-01-29 18:04:35,2019-01-29 18:04:35,0.002s,NOT_RUN
navigateToUrl,Chrome 71.0.3578.98,,2019-01-29 18:04:35,2019-01-29 18:04:35,0.010s,NOT_RUN
setText,Chrome 71.0.3578.98,,2019-01-29 18:04:35,2019-01-29 18:04:36,0.511s,PASSED
click,Chrome 71.0.3578.98,,2019-01-29 18:04:36,2019-01-29 18:04:45,9.167s,PASSED
,,,,,,
Test Cases/Web UAT/add_to_cart,Chrome 71.0.3578.98,,2019-01-29 18:04:45,2019-01-29 18:04:45,0.318s,PASSED
click,Chrome 71.0.3578.98,,2019-01-29 18:04:45,2019-01-29 18:04:45,0.135s,PASSED
,,,,,,
Test Cases/Web UAT/cart,Chrome 71.0.3578.98,,2019-01-29 18:04:45,2019-01-29 18:04:48,3.062s,PASSED
click,Chrome 71.0.3578.98,,2019-01-29 18:04:46,2019-01-29 18:04:48,2.879s,PASSED
,,,,,,
Test Cases/Web UAT/checkout,Chrome 71.0.3578.98,,2019-01-29 18:04:48,2019-01-29 18:05:09,20.259s,PASSED
click,Chrome 71.0.3578.98,,2019-01-29 18:04:49,2019-01-29 18:04:54,4.857s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-29 18:04:54,2019-01-29 18:05:04,10.002s,PASSED
click,Chrome 71.0.3578.98,,2019-01-29 18:05:04,2019-01-29 18:05:04,0.142s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-29 18:05:04,2019-01-29 18:05:09,5.001s,PASSED
,,,,,,
Test Cases/Web UAT/virtual_account,Chrome 71.0.3578.98,,2019-01-29 18:05:09,2019-01-29 18:05:30,20.813s,PASSED
click,Chrome 71.0.3578.98,,2019-01-29 18:05:09,2019-01-29 18:05:14,5.268s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-29 18:05:14,2019-01-29 18:05:19,5.004s,PASSED
click,Chrome 71.0.3578.98,,2019-01-29 18:05:19,2019-01-29 18:05:30,10.263s,PASSED
