Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Web Virtual Account Prod,Chrome 71.0.3578.98,,2019-01-28 15:42:42,2019-01-28 15:43:30,48.514s,FAILED
,,,,,,
Test Cases/Alfacart Website/Login PROD,Chrome 71.0.3578.98,,2019-01-28 15:42:42,2019-01-28 15:43:11,28.976s,PASSED
openBrowser,Chrome 71.0.3578.98,,2019-01-28 15:42:42,2019-01-28 15:42:53,10.636s,PASSED
"Statement - autoit_prj = ""D:\Katalon\Authentication_Custom.exe""",Chrome 71.0.3578.98,,2019-01-28 15:42:53,2019-01-28 15:42:53,0.003s,NOT_RUN
Statement - java.lang.Runtime.getRuntime().exec(autoit_prj),Chrome 71.0.3578.98,,2019-01-28 15:42:53,2019-01-28 15:42:53,0.002s,NOT_RUN
Statement - java.lang.Thread.sleep(500),Chrome 71.0.3578.98,,2019-01-28 15:42:53,2019-01-28 15:42:54,0.509s,PASSED
navigateToUrl,Chrome 71.0.3578.98,,2019-01-28 15:42:54,2019-01-28 15:43:00,6.357s,PASSED
click,Chrome 71.0.3578.98,,2019-01-28 15:43:00,2019-01-28 15:43:00,0.002s,NOT_RUN
"Statement - result = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Login Web/Page_Alfacart - Belanja Online Jadi/span_x), 0)",Chrome 71.0.3578.98,,2019-01-28 15:43:00,2019-01-28 15:43:00,0.272s,PASSED
Statement - If (result),Chrome 71.0.3578.98,,2019-01-28 15:43:00,2019-01-28 15:43:05,4.777s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-28 15:43:05,2019-01-28 15:43:07,2.003s,PASSED
setText,Chrome 71.0.3578.98,,2019-01-28 15:43:07,2019-01-28 15:43:08,0.975s,PASSED
setEncryptedText,Chrome 71.0.3578.98,,2019-01-28 15:43:08,2019-01-28 15:43:08,0.472s,PASSED
click,Chrome 71.0.3578.98,,2019-01-28 15:43:08,2019-01-28 15:43:11,2.510s,PASSED
,,,,,,
Test Cases/Alfacart Website/Search Web,Chrome 71.0.3578.98,,2019-01-28 15:43:11,2019-01-28 15:43:21,10.319s,PASSED
setText,Chrome 71.0.3578.98,,2019-01-28 15:43:11,2019-01-28 15:43:12,0.407s,PASSED
click,Chrome 71.0.3578.98,,2019-01-28 15:43:12,2019-01-28 15:43:15,2.899s,PASSED
click,Chrome 71.0.3578.98,,2019-01-28 15:43:15,2019-01-28 15:43:15,0.332s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-28 15:43:15,2019-01-28 15:43:15,0.002s,NOT_RUN
click,Chrome 71.0.3578.98,,2019-01-28 15:43:15,2019-01-28 15:43:15,0.001s,NOT_RUN
delay,Chrome 71.0.3578.98,,2019-01-28 15:43:15,2019-01-28 15:43:18,3.002s,PASSED
click,Chrome 71.0.3578.98,,2019-01-28 15:43:18,2019-01-28 15:43:18,0.219s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-28 15:43:18,2019-01-28 15:43:18,0.001s,NOT_RUN
click,Chrome 71.0.3578.98,,2019-01-28 15:43:18,2019-01-28 15:43:18,0.002s,NOT_RUN
delay,Chrome 71.0.3578.98,,2019-01-28 15:43:18,2019-01-28 15:43:21,3.002s,PASSED
,,,,,,
Test Cases/Alfacart Website/VA,Chrome 71.0.3578.98,,2019-01-28 15:43:21,2019-01-28 15:43:29,7.815s,FAILED
click,Chrome 71.0.3578.98,,2019-01-28 15:43:22,2019-01-28 15:43:26,3.528s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-28 15:43:26,2019-01-28 15:43:29,3.002s,PASSED
click,Chrome 71.0.3578.98,,2019-01-28 15:43:29,2019-01-28 15:43:29,0.525s,FAILED
