Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 71.0.3578.98,,2019-01-29 17:13:12,2019-01-29 17:13:56,44.632s,PASSED
,,,,,,
Test Cases/Alfacart Website/Login PROD,Chrome 71.0.3578.98,,2019-01-29 17:13:12,2019-01-29 17:13:55,42.935s,PASSED
openBrowser,Chrome 71.0.3578.98,,2019-01-29 17:13:13,2019-01-29 17:13:20,7.447s,PASSED
"Statement - autoit_prj = ""D:\Katalon\Authentication_Custom.exe""",Chrome 71.0.3578.98,,2019-01-29 17:13:20,2019-01-29 17:13:20,0.006s,NOT_RUN
Statement - java.lang.Runtime.getRuntime().exec(autoit_prj),Chrome 71.0.3578.98,,2019-01-29 17:13:20,2019-01-29 17:13:20,0.002s,NOT_RUN
Statement - java.lang.Thread.sleep(500),Chrome 71.0.3578.98,,2019-01-29 17:13:20,2019-01-29 17:13:21,0.507s,PASSED
navigateToUrl,Chrome 71.0.3578.98,,2019-01-29 17:13:21,2019-01-29 17:13:37,16.364s,PASSED
click,Chrome 71.0.3578.98,,2019-01-29 17:13:37,2019-01-29 17:13:37,0.002s,NOT_RUN
"Statement - result = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Login Web/Page_Alfacart - Belanja Online Jadi/span_x), 0)",Chrome 71.0.3578.98,,2019-01-29 17:13:37,2019-01-29 17:13:37,0.148s,PASSED
Statement - If (result),Chrome 71.0.3578.98,,2019-01-29 17:13:37,2019-01-29 17:13:47,9.635s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-29 17:13:47,2019-01-29 17:13:49,2.002s,PASSED
setText,Chrome 71.0.3578.98,,2019-01-29 17:13:49,2019-01-29 17:13:49,0.562s,PASSED
setEncryptedText,Chrome 71.0.3578.98,,2019-01-29 17:13:49,2019-01-29 17:13:50,0.206s,PASSED
click,Chrome 71.0.3578.98,,2019-01-29 17:13:50,2019-01-29 17:13:55,5.575s,PASSED
