Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login Data Driven,Chrome 71.0.3578.98,,2019-01-24 14:22:55,2019-01-24 14:23:13,17.730s,FAILED
,,,,,,
Test Cases/Alfacart Website/Login Upload Excel,Chrome 71.0.3578.98,,2019-01-24 14:22:55,2019-01-24 14:23:12,16.483s,FAILED
openBrowser,Chrome 71.0.3578.98,,2019-01-24 14:22:56,2019-01-24 14:23:00,4.087s,PASSED
"Statement - autoit_prj = ""D:\Katalon\Authentication_Custom.exe""",Chrome 71.0.3578.98,,2019-01-24 14:23:00,2019-01-24 14:23:00,0.001s,PASSED
Statement - java.lang.Runtime.getRuntime().exec(autoit_prj),Chrome 71.0.3578.98,,2019-01-24 14:23:00,2019-01-24 14:23:01,1.082s,PASSED
Statement - java.lang.Thread.sleep(500),Chrome 71.0.3578.98,,2019-01-24 14:23:01,2019-01-24 14:23:02,0.503s,PASSED
navigateToUrl,Chrome 71.0.3578.98,,2019-01-24 14:23:02,2019-01-24 14:23:09,7.570s,PASSED
Statement - For (def index : (0..0)),Chrome 71.0.3578.98,,2019-01-24 14:23:09,2019-01-24 14:23:09,0.003s,NOT_RUN
click,Chrome 71.0.3578.98,,2019-01-24 14:23:09,2019-01-24 14:23:09,0.001s,NOT_RUN
delay,Chrome 71.0.3578.98,,2019-01-24 14:23:09,2019-01-24 14:23:11,2.036s,PASSED
click,Chrome 71.0.3578.98,,2019-01-24 14:23:11,2019-01-24 14:23:12,0.646s,FAILED
