Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
New_Apg_VA,Chrome 71.0.3578.98,,2019-01-30 15:21:05,2019-01-30 15:23:25,2m - 19.866s,FAILED
,,,,,,
Test Cases/Web UAT/Login UAT,Chrome 71.0.3578.98,,2019-01-30 15:21:06,2019-01-30 15:21:28,22.453s,PASSED
openBrowser,Chrome 71.0.3578.98,,2019-01-30 15:21:06,2019-01-30 15:21:11,4.781s,PASSED
"Statement - autoit_prj = ""D:\Katalon\Authentication_Custom.exe""",Chrome 71.0.3578.98,,2019-01-30 15:21:11,2019-01-30 15:21:11,0.004s,PASSED
Statement - java.lang.Runtime.getRuntime().exec(autoit_prj),Chrome 71.0.3578.98,,2019-01-30 15:21:11,2019-01-30 15:21:11,0.016s,PASSED
Statement - java.lang.Thread.sleep(500),Chrome 71.0.3578.98,,2019-01-30 15:21:11,2019-01-30 15:21:11,0.516s,PASSED
navigateToUrl,Chrome 71.0.3578.98,,2019-01-30 15:21:11,2019-01-30 15:21:19,7.593s,PASSED
Statement - For (def index : (0..0)),Chrome 71.0.3578.98,,2019-01-30 15:21:19,2019-01-30 15:21:19,0.003s,NOT_RUN
click,Chrome 71.0.3578.98,,2019-01-30 15:21:19,2019-01-30 15:21:19,0.002s,NOT_RUN
delay,Chrome 71.0.3578.98,,2019-01-30 15:21:19,2019-01-30 15:21:21,2.066s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 15:21:21,2019-01-30 15:21:22,1.021s,PASSED
setText,Chrome 71.0.3578.98,,2019-01-30 15:21:22,2019-01-30 15:21:23,0.389s,PASSED
setEncryptedText,Chrome 71.0.3578.98,,2019-01-30 15:21:23,2019-01-30 15:21:23,0.302s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 15:21:23,2019-01-30 15:21:28,5.315s,PASSED
,,,,,,
Test Cases/Web UAT/Search,Chrome 71.0.3578.98,,2019-01-30 15:21:28,2019-01-30 15:21:41,12.521s,PASSED
openBrowser,Chrome 71.0.3578.98,,2019-01-30 15:21:28,2019-01-30 15:21:28,0.003s,NOT_RUN
navigateToUrl,Chrome 71.0.3578.98,,2019-01-30 15:21:28,2019-01-30 15:21:28,0.007s,NOT_RUN
setText,Chrome 71.0.3578.98,,2019-01-30 15:21:28,2019-01-30 15:21:29,0.572s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 15:21:29,2019-01-30 15:21:41,11.695s,PASSED
,,,,,,
Test Cases/Web UAT/add_to_cart,Chrome 71.0.3578.98,,2019-01-30 15:21:41,2019-01-30 15:21:43,2.528s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 15:21:41,2019-01-30 15:21:41,0.399s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-30 15:21:41,2019-01-30 15:21:43,2.003s,PASSED
,,,,,,
Test Cases/Web UAT/cart,Chrome 71.0.3578.98,,2019-01-30 15:21:43,2019-01-30 15:21:51,8.029s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 15:21:43,2019-01-30 15:21:51,7.874s,PASSED
Statement - println(noOrder),Chrome 71.0.3578.98,,2019-01-30 15:21:51,2019-01-30 15:21:51,0.015s,PASSED
,,,,,,
Test Cases/Web UAT/checkout,Chrome 71.0.3578.98,,2019-01-30 15:21:51,2019-01-30 15:22:53,1m - 1.302s,FAILED
click,Chrome 71.0.3578.98,,2019-01-30 15:21:52,2019-01-30 15:22:02,10.397s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-30 15:22:02,2019-01-30 15:22:12,10.004s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 15:22:12,2019-01-30 15:22:12,0.129s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-30 15:22:12,2019-01-30 15:22:17,5.003s,PASSED
Statement - noOrder = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/New Apg/TEMP_ORDER/noOrder2)),Chrome 71.0.3578.98,,2019-01-30 15:22:17,2019-01-30 15:22:53,35.469s,FAILED
,,,,,,
Test Cases/Web UAT/virtual_account,Chrome 71.0.3578.98,,2019-01-30 15:22:53,2019-01-30 15:23:24,31.798s,FAILED
click,Chrome 71.0.3578.98,,2019-01-30 15:22:53,2019-01-30 15:23:24,31.641s,FAILED
