Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
New_Apg_VA,Chrome 71.0.3578.98,,2019-01-29 17:57:54,2019-01-29 17:59:17,1m - 22.429s,FAILED
,,,,,,
Test Cases/Web UAT/Login UAT,Chrome 71.0.3578.98,,2019-01-29 17:57:55,2019-01-29 17:58:24,29.195s,PASSED
openBrowser,Chrome 71.0.3578.98,,2019-01-29 17:57:55,2019-01-29 17:58:04,8.467s,PASSED
"Statement - autoit_prj = ""D:\Katalon\Authentication_Custom.exe""",Chrome 71.0.3578.98,,2019-01-29 17:58:04,2019-01-29 17:58:04,0.008s,PASSED
Statement - java.lang.Runtime.getRuntime().exec(autoit_prj),Chrome 71.0.3578.98,,2019-01-29 17:58:04,2019-01-29 17:58:07,3.425s,PASSED
Statement - java.lang.Thread.sleep(500),Chrome 71.0.3578.98,,2019-01-29 17:58:07,2019-01-29 17:58:08,0.537s,PASSED
navigateToUrl,Chrome 71.0.3578.98,,2019-01-29 17:58:08,2019-01-29 17:58:17,8.973s,PASSED
Statement - For (def index : (0..0)),Chrome 71.0.3578.98,,2019-01-29 17:58:17,2019-01-29 17:58:17,0.003s,NOT_RUN
click,Chrome 71.0.3578.98,,2019-01-29 17:58:17,2019-01-29 17:58:17,0.002s,NOT_RUN
delay,Chrome 71.0.3578.98,,2019-01-29 17:58:17,2019-01-29 17:58:19,2.044s,PASSED
click,Chrome 71.0.3578.98,,2019-01-29 17:58:19,2019-01-29 17:58:19,0.634s,PASSED
setText,Chrome 71.0.3578.98,,2019-01-29 17:58:19,2019-01-29 17:58:20,0.436s,PASSED
setEncryptedText,Chrome 71.0.3578.98,,2019-01-29 17:58:20,2019-01-29 17:58:20,0.515s,PASSED
click,Chrome 71.0.3578.98,,2019-01-29 17:58:20,2019-01-29 17:58:24,3.606s,PASSED
,,,,,,
Test Cases/Web UAT/Search,Chrome 71.0.3578.98,,2019-01-29 17:58:24,2019-01-29 17:58:43,19.153s,FAILED
openBrowser,Chrome 71.0.3578.98,,2019-01-29 17:58:24,2019-01-29 17:58:24,0.001s,NOT_RUN
navigateToUrl,Chrome 71.0.3578.98,,2019-01-29 17:58:24,2019-01-29 17:58:24,0.004s,NOT_RUN
setText,Chrome 71.0.3578.98,,2019-01-29 17:58:24,2019-01-29 17:58:43,18.944s,FAILED
,,,,,,
Test Cases/Web UAT/add_to_cart,Chrome 71.0.3578.98,,2019-01-29 17:58:43,2019-01-29 17:58:51,8.220s,FAILED
click,Chrome 71.0.3578.98,,2019-01-29 17:58:43,2019-01-29 17:58:51,8.042s,FAILED
,,,,,,
Test Cases/Web UAT/cart,Chrome 71.0.3578.98,,2019-01-29 17:58:51,2019-01-29 17:58:59,8.244s,FAILED
click,Chrome 71.0.3578.98,,2019-01-29 17:58:51,2019-01-29 17:58:59,8.043s,FAILED
,,,,,,
Test Cases/Web UAT/checkout,Chrome 71.0.3578.98,,2019-01-29 17:58:59,2019-01-29 17:59:08,8.251s,FAILED
click,Chrome 71.0.3578.98,,2019-01-29 17:59:00,2019-01-29 17:59:08,8.046s,FAILED
,,,,,,
Test Cases/Web UAT/virtual_account,Chrome 71.0.3578.98,,2019-01-29 17:59:08,2019-01-29 17:59:16,8.209s,FAILED
click,Chrome 71.0.3578.98,,2019-01-29 17:59:08,2019-01-29 17:59:16,8.039s,FAILED
