Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
New_Apg_VA,Chrome 71.0.3578.98,,2019-01-30 13:31:40,2019-01-30 13:33:20,1m - 40.513s,PASSED
,,,,,,
Test Cases/Web UAT/Login UAT,Chrome 71.0.3578.98,,2019-01-30 13:31:40,2019-01-30 13:32:25,44.714s,PASSED
openBrowser,Chrome 71.0.3578.98,,2019-01-30 13:31:41,2019-01-30 13:31:54,13.390s,PASSED
"Statement - autoit_prj = ""D:\Katalon\Authentication_Custom.exe""",Chrome 71.0.3578.98,,2019-01-30 13:31:54,2019-01-30 13:31:54,0.003s,PASSED
Statement - java.lang.Runtime.getRuntime().exec(autoit_prj),Chrome 71.0.3578.98,,2019-01-30 13:31:54,2019-01-30 13:31:58,3.275s,PASSED
Statement - java.lang.Thread.sleep(500),Chrome 71.0.3578.98,,2019-01-30 13:31:58,2019-01-30 13:31:58,0.569s,PASSED
navigateToUrl,Chrome 71.0.3578.98,,2019-01-30 13:31:58,2019-01-30 13:32:13,15.379s,PASSED
Statement - For (def index : (0..0)),Chrome 71.0.3578.98,,2019-01-30 13:32:13,2019-01-30 13:32:13,0.003s,NOT_RUN
click,Chrome 71.0.3578.98,,2019-01-30 13:32:13,2019-01-30 13:32:13,0.002s,NOT_RUN
delay,Chrome 71.0.3578.98,,2019-01-30 13:32:13,2019-01-30 13:32:16,2.046s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 13:32:16,2019-01-30 13:32:17,1.743s,PASSED
setText,Chrome 71.0.3578.98,,2019-01-30 13:32:17,2019-01-30 13:32:19,1.414s,PASSED
setEncryptedText,Chrome 71.0.3578.98,,2019-01-30 13:32:19,2019-01-30 13:32:20,1.133s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 13:32:20,2019-01-30 13:32:25,5.268s,PASSED
,,,,,,
Test Cases/Web UAT/Search,Chrome 71.0.3578.98,,2019-01-30 13:32:25,2019-01-30 13:32:32,7.325s,PASSED
openBrowser,Chrome 71.0.3578.98,,2019-01-30 13:32:25,2019-01-30 13:32:25,0.001s,NOT_RUN
navigateToUrl,Chrome 71.0.3578.98,,2019-01-30 13:32:25,2019-01-30 13:32:25,0.009s,NOT_RUN
setText,Chrome 71.0.3578.98,,2019-01-30 13:32:25,2019-01-30 13:32:26,0.591s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 13:32:26,2019-01-30 13:32:32,6.355s,PASSED
,,,,,,
Test Cases/Web UAT/add_to_cart,Chrome 71.0.3578.98,,2019-01-30 13:32:32,2019-01-30 13:32:35,2.730s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 13:32:33,2019-01-30 13:32:33,0.349s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-30 13:32:33,2019-01-30 13:32:35,2.002s,PASSED
,,,,,,
Test Cases/Web UAT/cart,Chrome 71.0.3578.98,,2019-01-30 13:32:35,2019-01-30 13:32:38,3.013s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 13:32:35,2019-01-30 13:32:38,2.537s,PASSED
Statement - println(noOrder),Chrome 71.0.3578.98,,2019-01-30 13:32:38,2019-01-30 13:32:38,0.156s,PASSED
,,,,,,
Test Cases/Web UAT/checkout,Chrome 71.0.3578.98,,2019-01-30 13:32:38,2019-01-30 13:33:03,25.231s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 13:32:39,2019-01-30 13:32:42,3.600s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-30 13:32:42,2019-01-30 13:32:52,10.003s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 13:32:52,2019-01-30 13:32:52,0.148s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-30 13:32:52,2019-01-30 13:32:57,5.002s,PASSED
Statement - noOrder = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/New Apg/TEMP_ORDER/noOrder2)),Chrome 71.0.3578.98,,2019-01-30 13:32:57,2019-01-30 13:33:03,6.162s,PASSED
Statement - println(noOrder),Chrome 71.0.3578.98,,2019-01-30 13:33:03,2019-01-30 13:33:03,0.002s,PASSED
Statement - noOrder = noOrder,Chrome 71.0.3578.98,,2019-01-30 13:33:03,2019-01-30 13:33:03,0.001s,PASSED
Statement - println(noOrder),Chrome 71.0.3578.98,,2019-01-30 13:33:03,2019-01-30 13:33:03,0.000s,PASSED
,,,,,,
Test Cases/Web UAT/virtual_account,Chrome 71.0.3578.98,,2019-01-30 13:33:03,2019-01-30 13:33:19,15.785s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 13:33:04,2019-01-30 13:33:04,0.266s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-30 13:33:04,2019-01-30 13:33:07,3.003s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 13:33:07,2019-01-30 13:33:19,12.138s,PASSED
